nombre,afinidad,posicion,equipo,url_imagen
Adrian Speed,Aire,Delantero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/d/d6/SuizenjiChiita.JPG/revision/latest?cb=20120423015209&path-prefix=es
Alan Coe,Bosque,Centrocampista,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/7/78/%28W%29_Koala_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015151112&path-prefix=es
Alan Master,Aire,Defensa,1ª Línea : 4. Royal Academy 2. Neo Japón 2ª Línea : 4. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/a/aa/Kennya_Narukamialasn.png/revision/latest?cb=20120102022817&path-prefix=es
Alan Most,Montaña,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/1/1d/%28U%29_Most_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191024143655&path-prefix=es
Albert Green,Fuego,Portero,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/6/69/Albert_Green.png/revision/latest?cb=20130910103759&path-prefix=es
Alex Lovely,Aire,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/1/13/%28S%29_Lovely_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232318&path-prefix=es
Alexander Brave,Fuego,Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/0/0b/Yatsuhaka_Tataru_IED.png/revision/latest?cb=20121126230502&path-prefix=es
Alf Holmes,Bosque,Delantero [ 1 ] Portero,Sallys,https://static.wikia.nocookie.net/inazuma/images/d/de/%28S%29_Holmes_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232044&path-prefix=es
Alfred Meenan,Bosque,Defensa,Línea Original : Instituto Kirkwood Línea Alterna : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/b/bd/IE_2_-_Meenan.png/revision/latest?cb=20180602234431&path-prefix=es
Andy,Montaña,Defensa,,https://static.wikia.nocookie.net/inazuma/images/f/fd/Andy.png/revision/latest?cb=20250111152816&path-prefix=es
Andy Chronic,Bosque,Defensa,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/3/30/%28Z%29_Chronos_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191021133004&path-prefix=es
Anthony Woodbridge,Aire,Centrocampista,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/8/88/Anthony_Woodbridge.jpg/revision/latest/scale-to-width-down/268?cb=20120805073838&path-prefix=es
Apollo Light,Bosque,Defensa,1ª Línea : Instituto Zeus 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/0/03/250px-Aporo_Hikaru.jpg/revision/latest?cb=20120628002708&path-prefix=es
Arnold Horrel,Montaña [ 1 ],,,https://static.wikia.nocookie.net/inazuma/images/f/f5/Arnold.png/revision/latest?cb=20130421150636&path-prefix=es
Arthur Sweet,Montaña,Defensa Entrenador,4. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/6/69/Arthur_Sweet_%28Anime%29.png/revision/latest?cb=20150321132419&path-prefix=es
Artie Mishman,Aire,Centrocampista,1ª Línea : Instituto Zeus 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/9/96/Artemis.jpg/revision/latest?cb=20121213132501&path-prefix=es
Aurelia Dingle,Bosque,Centrocampista,2ª Línea : Raimon Isla Remota,https://static.wikia.nocookie.net/inazuma/images/6/6c/Aurelia_%28GO_Strikers_2013%29.png/revision/latest/scale-to-width-down/268?cb=20161110145441&path-prefix=es
Axel Blaze,Fuego,Delantero Entrenador,1ª Línea : ??. [ 1 ] Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/5/57/Axel_%28IJ_Artwork%29.png/revision/latest?cb=20190808150903&path-prefix=es
Barry Potts,Aire,Centrocampista,Royal Academy,https://static.wikia.nocookie.net/inazuma/images/1/10/%28RA%29_Potts_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016195712&path-prefix=es
Bart Grantham,Bosque,Defensa [ 1 ] Portero,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/4/43/%28IKFC%29_Grantham_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200117135352&path-prefix=es
Ben Nevis,Aire,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/3/3a/%28F%29_Nevis_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201054&path-prefix=es
Ben Simmons,Bosque,Defensa,1ª Línea : 3. Royal Academy 2ª Línea : 3. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/b/b0/118369.png/revision/latest?cb=20121126180900&path-prefix=es
